# DM Label Debug: Face Sets
# ID, Type, Label Values
0, cell, -1
1, cell, -1
2, cell, -1
3, cell, -1
4, cell, -1
5, cell, -1
6, cell, -1
7, cell, -1
8, cell, -1
9, cell, -1
10, cell, -1
11, cell, -1
12, cell, -1
13, cell, -1
14, cell, -1
15, cell, -1
16, cell, -1
17, cell, -1
18, cell, -1
19, cell, -1
20, vertex, 6 3 1
21, vertex, 3 1
22, vertex, 3 1
23, vertex, 3 1
24, vertex, 3 1
25, vertex, 3 1
26, vertex, 3 1
27, vertex, 3 1
28, vertex, 3 1
29, vertex, 3 1
30, vertex, 3 1
31, vertex, 3 1
32, vertex, 3 1
33, vertex, 3 1
34, vertex, 3 1
35, vertex, 3 1
36, vertex, 3 1
37, vertex, 3 1
38, vertex, 3 1
39, vertex, 3 1
40, vertex, 5 3 1
41, vertex, 6 4 1
42, vertex, 4 1
43, vertex, 4 1
44, vertex, 4 1
45, vertex, 4 1
46, vertex, 4 1
47, vertex, 4 1
48, vertex, 4 1
49, vertex, 4 1
50, vertex, 4 1
51, vertex, 4 1
52, vertex, 4 1
53, vertex, 4 1
54, vertex, 4 1
55, vertex, 4 1
56, vertex, 4 1
57, vertex, 4 1
58, vertex, 4 1
59, vertex, 4 1
60, vertex, 4 1
61, vertex, 5 4 1
62, vertex, 6 3 2
63, vertex, 3 2
64, vertex, 3 2
65, vertex, 3 2
66, vertex, 3 2
67, vertex, 3 2
68, vertex, 3 2
69, vertex, 3 2
70, vertex, 3 2
71, vertex, 3 2
72, vertex, 3 2
73, vertex, 3 2
74, vertex, 3 2
75, vertex, 3 2
76, vertex, 3 2
77, vertex, 3 2
78, vertex, 3 2
79, vertex, 3 2
80, vertex, 3 2
81, vertex, 3 2
82, vertex, 5 3 2
83, vertex, 6 4 2
84, vertex, 4 2
85, vertex, 4 2
86, vertex, 4 2
87, vertex, 4 2
88, vertex, 4 2
89, vertex, 4 2
90, vertex, 4 2
91, vertex, 4 2
92, vertex, 4 2
93, vertex, 4 2
94, vertex, 4 2
95, vertex, 4 2
96, vertex, 4 2
97, vertex, 4 2
98, vertex, 4 2
99, vertex, 4 2
100, vertex, 4 2
101, vertex, 4 2
102, vertex, 4 2
103, vertex, 5 4 2
104, face, 6
105, face, -1
106, face, -1
107, face, -1
108, face, -1
109, face, -1
110, face, -1
111, face, -1
112, face, -1
113, face, -1
114, face, -1
115, face, -1
116, face, -1
117, face, -1
118, face, -1
119, face, -1
120, face, -1
121, face, -1
122, face, -1
123, face, -1
124, face, 5
125, face, 3
126, face, 4
127, face, 3
128, face, 4
129, face, 3
130, face, 4
131, face, 3
132, face, 4
133, face, 3
134, face, 4
135, face, 3
136, face, 4
137, face, 3
138, face, 4
139, face, 3
140, face, 4
141, face, 3
142, face, 4
143, face, 3
144, face, 4
145, face, 3
146, face, 4
147, face, 3
148, face, 4
149, face, 3
150, face, 4
151, face, 3
152, face, 4
153, face, 3
154, face, 4
155, face, 3
156, face, 4
157, face, 3
158, face, 4
159, face, 3
160, face, 4
161, face, 3
162, face, 4
163, face, 3
164, face, 4
165, face, 1
166, face, 2
167, face, 1
168, face, 2
169, face, 1
170, face, 2
171, face, 1
172, face, 2
173, face, 1
174, face, 2
175, face, 1
176, face, 2
177, face, 1
178, face, 2
179, face, 1
180, face, 2
181, face, 1
182, face, 2
183, face, 1
184, face, 2
185, face, 1
186, face, 2
187, face, 1
188, face, 2
189, face, 1
190, face, 2
191, face, 1
192, face, 2
193, face, 1
194, face, 2
195, face, 1
196, face, 2
197, face, 1
198, face, 2
199, face, 1
200, face, 2
201, face, 1
202, face, 2
203, face, 1
204, face, 2
205, edge, 3 1
206, edge, 3 1
207, edge, 3 1
208, edge, 3 1
209, edge, 3 1
210, edge, 3 1
211, edge, 3 1
212, edge, 3 1
213, edge, 3 1
214, edge, 3 1
215, edge, 3 1
216, edge, 3 1
217, edge, 3 1
218, edge, 3 1
219, edge, 3 1
220, edge, 3 1
221, edge, 3 1
222, edge, 3 1
223, edge, 3 1
224, edge, 3 1
225, edge, 4 1
226, edge, 4 1
227, edge, 4 1
228, edge, 4 1
229, edge, 4 1
230, edge, 4 1
231, edge, 4 1
232, edge, 4 1
233, edge, 4 1
234, edge, 4 1
235, edge, 4 1
236, edge, 4 1
237, edge, 4 1
238, edge, 4 1
239, edge, 4 1
240, edge, 4 1
241, edge, 4 1
242, edge, 4 1
243, edge, 4 1
244, edge, 4 1
245, edge, 3 2
246, edge, 3 2
247, edge, 3 2
248, edge, 3 2
249, edge, 3 2
250, edge, 3 2
251, edge, 3 2
252, edge, 3 2
253, edge, 3 2
254, edge, 3 2
255, edge, 3 2
256, edge, 3 2
257, edge, 3 2
258, edge, 3 2
259, edge, 3 2
260, edge, 3 2
261, edge, 3 2
262, edge, 3 2
263, edge, 3 2
264, edge, 3 2
265, edge, 4 2
266, edge, 4 2
267, edge, 4 2
268, edge, 4 2
269, edge, 4 2
270, edge, 4 2
271, edge, 4 2
272, edge, 4 2
273, edge, 4 2
274, edge, 4 2
275, edge, 4 2
276, edge, 4 2
277, edge, 4 2
278, edge, 4 2
279, edge, 4 2
280, edge, 4 2
281, edge, 4 2
282, edge, 4 2
283, edge, 4 2
284, edge, 4 2
285, edge, 6 1
286, edge, 1
287, edge, 1
288, edge, 1
289, edge, 1
290, edge, 1
291, edge, 1
292, edge, 1
293, edge, 1
294, edge, 1
295, edge, 1
296, edge, 1
297, edge, 1
298, edge, 1
299, edge, 1
300, edge, 1
301, edge, 1
302, edge, 1
303, edge, 1
304, edge, 1
305, edge, 5 1
306, edge, 6 2
307, edge, 2
308, edge, 2
309, edge, 2
310, edge, 2
311, edge, 2
312, edge, 2
313, edge, 2
314, edge, 2
315, edge, 2
316, edge, 2
317, edge, 2
318, edge, 2
319, edge, 2
320, edge, 2
321, edge, 2
322, edge, 2
323, edge, 2
324, edge, 2
325, edge, 2
326, edge, 5 2
327, edge, 6 3
328, edge, 3
329, edge, 3
330, edge, 3
331, edge, 3
332, edge, 3
333, edge, 3
334, edge, 3
335, edge, 3
336, edge, 3
337, edge, 3
338, edge, 3
339, edge, 3
340, edge, 3
341, edge, 3
342, edge, 3
343, edge, 3
344, edge, 3
345, edge, 3
346, edge, 3
347, edge, 5 3
348, edge, 6 4
349, edge, 4
350, edge, 4
351, edge, 4
352, edge, 4
353, edge, 4
354, edge, 4
355, edge, 4
356, edge, 4
357, edge, 4
358, edge, 4
359, edge, 4
360, edge, 4
361, edge, 4
362, edge, 4
363, edge, 4
364, edge, 4
365, edge, 4
366, edge, 4
367, edge, 4
368, edge, 5 4
